policy,param,mean_trades,mean_cost,rmse,cost_rate
time-triggered,6.0,6.0,0.04248122975466859,2.663593655078512,0.0005
time-triggered,12.0,12.0,0.05710225972596952,1.9263685845680356,0.0005
time-triggered,21.0,21.0,0.07380910784159916,1.4761193823599736,0.0005
time-triggered,42.0,42.0,0.10252532804861517,1.0659470809825802,0.0005
time-triggered,63.0,63.0,0.12471624131037888,0.8702665953790151,0.0005
time-triggered,84.0,84.0,0.14353338146404457,0.7737108659876794,0.0005
time-triggered,126.0,126.0,0.17536655209389856,0.6500557837804978,0.0005
time-triggered,252.0,252.0,0.24682933661470005,0.520293315850574,0.0005
band-triggered,0.2,4.9244,0.05191727469361399,2.264975768502219,0.0005
band-triggered,0.15,7.8869,0.06481005692391834,1.455656098726731,0.0005
band-triggered,0.12,11.0381,0.07626769351310593,1.3042563364095978,0.0005
band-triggered,0.08,20.1517,0.101707960660162,0.909703090352416,0.0005
band-triggered,0.05,38.3357,0.13673699581158433,0.6861426664695978,0.0005
band-triggered,0.035,58.8922,0.1648991243029979,0.5870901594533902,0.0005
band-triggered,0.02,99.546,0.20337985477661882,0.530973520007844,0.0005
band-triggered,0.01,147.6937,0.23102586058670005,0.5191881651062658,0.0005
band-triggered,0.005,181.511,0.2417079199139703,0.5188814525369213,0.0005
time-triggered,6.0,6.0,0.08496245950933717,2.6680177107375025,0.001
time-triggered,12.0,12.0,0.11420451945193905,1.933092712861818,0.001
time-triggered,21.0,21.0,0.14761821568319833,1.487571808797031,0.001
time-triggered,42.0,42.0,0.20505065609723033,1.089406698017596,0.001
time-triggered,63.0,63.0,0.24943248262075776,0.9057675510668117,0.001
time-triggered,84.0,84.0,0.28706676292808914,0.8256786245194222,0.001
time-triggered,126.0,126.0,0.35073310418779713,0.737140341240421,0.001
time-triggered,252.0,252.0,0.4936586732294001,0.7032687857963748,0.001
band-triggered,0.2,4.9244,0.10383454938722798,2.268874986936661,0.001
band-triggered,0.15,7.8869,0.12962011384783667,1.4638969483856716,0.001
band-triggered,0.12,11.0381,0.15253538702621186,1.3146533784569838,0.001
band-triggered,0.08,20.1517,0.203415921320324,0.9354183366568806,0.001
band-triggered,0.05,38.3357,0.27347399162316866,0.74219271393257,0.001
band-triggered,0.035,58.8922,0.3297982486059958,0.6751200094316341,0.001
band-triggered,0.02,99.546,0.40675970955323765,0.6668093658793847,0.001
band-triggered,0.01,147.6937,0.4620517211734001,0.6863411473216984,0.001
band-triggered,0.005,181.511,0.4834158398279406,0.6970186211732381,0.001
